Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Rediger la section RGPD","A faire","CP7","Securite","Haute","2026-04-13","2026-04-14","Section RGPD","Donnees collectees, consentement, duree, droits utilisateur"
"Rassembler les preuves Git : branches, commits, merges","A faire","CP8","Gestion de projet","Haute","2026-04-14","2026-04-15","Captures Git","Important pour l'oral"
"Rassembler les preuves Kanban et planning","A faire","CP8","Gestion de projet","Moyenne","2026-04-14","2026-04-15","Captures Notion","Montrer l'organisation du projet"
"Preparer le diaporama de 20 minutes","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-16","Slides finales","La slide 1 doit etre en anglais"
"Rediger le cahier des charges / specifications","A faire","CP8","Documentation","Haute","2026-04-14","2026-04-15","Document de specifications","Inclure objectifs, utilisateurs et fonctionnalites"
"Rediger la partie developpement front-end","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Section front-end","Expliquer les choix UI et l'implementation"
"Rediger la partie developpement back-end","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Section back-end","Expliquer Flask, la base, les routes et la logique"
"Rediger la partie tests","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Section tests","Expliquer pytest et les verifications realisees"
"Rediger la partie securite et infrastructure","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Section infrastructure","Inclure Railway et PostgreSQL"
"Assembler le dossier RNCP de 20 pages","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Dossier final PDF","Suivre la structure attendue"
"Reviser la presentation en groupe","A faire","CP8","Presentation","Haute","2026-04-16","2026-04-16","Repetition orale","Tenir en 20 minutes"
"Faire la verification technique finale et la demo","A faire","CP8","Finalisation","Haute","2026-04-16","2026-04-16","Demo fonctionnelle","Verifier login, base de donnees et pages principales"
"Jour de presentation","A faire","CP8","Jalon","Haute","2026-04-17","2026-04-17","Presentation finale","Slides, demo et dossier"
