Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Creer requirements-dev.txt","A faire","CP1","Qualite","Haute","2026-04-07","2026-04-08","requirements-dev.txt","Ajouter pytest, black, flake8, pre-commit"
"Installer Black","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","Black installe","Verifier qu'il peut s'executer"
"Installer Flake8","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","Flake8 installe","Verifier qu'il peut s'executer"
"Installer pre-commit","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","pre-commit installe","Verifier qu'il peut s'executer"
"Creer .pre-commit-config.yaml","A faire","CP1","Qualite","Haute","2026-04-08","2026-04-08","Hooks configures","Ajouter Black et Flake8"
"Creer pyproject.toml pour Black","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","Config Black","Uniformiser le style du code"
"Creer .flake8","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","Config Flake8","Definir la longueur de ligne"
"Installer PostgreSQL en local","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","PostgreSQL installe","Verifier que le service tourne"
"Creer la base locale staffly","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Base creee","Nom clair et simple"
"Creer l'utilisateur PostgreSQL du projet","A faire","CP5","Base de donnees","Moyenne","2026-04-08","2026-04-09","Utilisateur cree","Le noter dans la doc"
"Tester la connexion a PostgreSQL","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Connexion validee","Verifier que DATABASE_URL fonctionne"
"Ajouter Flask-SQLAlchemy au projet","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","ORM configure","Verifier l'import dans Flask"
"Creer le modele Manager","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Table Manager","Commencer par la connexion"
"Creer le modele Employee","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-09","Table Employee","Nom, poste, email, telephone"
"Creer le modele Task","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Table Task","Titre, description, statut, employe lie"
"Creer le modele LeaveRequest","A faire","CP5","Base de donnees","Moyenne","2026-04-10","2026-04-10","Table LeaveRequest","Date debut, date fin, statut"
"Creer les relations entre les tables","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Relations SQLAlchemy","Manager vers employees, employees vers tasks"
"Lancer la creation des tables","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Tables creees","Preuve locale a montrer"
"Creer un script d'initialisation de base","A faire","CP5","Base de donnees","Moyenne","2026-04-09","2026-04-10","Script SQL ou commande Flask","Pratique pour refaire l'installation"
"Creer la page d'accueil Flask","A faire","CP4","Back-end","Moyenne","2026-04-09","2026-04-09","Home page","Doit presenter le projet"
"Creer le template de base","A faire","CP4","Front-end","Moyenne","2026-04-09","2026-04-09","base.html","Avoir une structure commune"
"Creer la page de connexion","A faire","CP4","Back-end","Haute","2026-04-09","2026-04-09","login.html","Formulaire relie au back"
"Ajouter le hashage du mot de passe","A faire","CP7","Securite","Haute","2026-04-09","2026-04-09","Mot de passe securise","Utiliser Bcrypt"
"Creer la route de connexion","A faire","CP7","Back-end","Haute","2026-04-09","2026-04-09","Route /login","Verifier email et mot de passe"
"Ajouter la gestion de session","A faire","CP7","Back-end","Haute","2026-04-09","2026-04-09","Session active","Stocker l'identifiant du manager"
"Creer la route dashboard","A faire","CP4","Back-end","Haute","2026-04-09","2026-04-09","Route /dashboard","Accessible uniquement si connecte"
"Proteger le dashboard","A faire","CP7","Securite","Haute","2026-04-09","2026-04-09","Acces controle","Rediriger vers login si non connecte"
"Creer la route logout","A faire","CP7","Back-end","Moyenne","2026-04-09","2026-04-09","Deconnexion","Vider la session"
"Ajouter un token CSRF sur les formulaires","A faire","CP7","Securite","Moyenne","2026-04-10","2026-04-10","Protection formulaire","Bonne pratique a mentionner dans le dossier"
"Ajouter des messages flash","A faire","CP4","Back-end","Moyenne","2026-04-10","2026-04-10","Messages utilisateur","Connexion reussie ou erreur"
"Creer la page liste des employes","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Liste employes","Afficher tous les employes"
"Creer le formulaire ajout employe","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Formulaire employe","Nom, poste, email"
"Creer la route ajout employe","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Create employee","Enregistrer en base"
"Creer la route modification employe","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Update employee","Modifier les informations"
"Creer la route suppression employe","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Delete employee","Supprimer proprement"
"Creer la page liste des taches","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Liste taches","Afficher toutes les taches"
"Creer le formulaire ajout tache","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Formulaire tache","Titre, description, employe"
"Creer la route ajout tache","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Create task","Enregistrer en base"
"Creer la route modification tache","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Update task","Modifier statut ou contenu"
"Creer la route suppression tache","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Delete task","Supprimer proprement"
"Creer la page demandes de conges","A faire","CP7","Back-end","Moyenne","2026-04-11","2026-04-11","Liste des demandes","Version simple acceptable"
"Creer le formulaire demande de conges","A faire","CP7","Back-end","Moyenne","2026-04-11","2026-04-11","Formulaire conges","Date debut, date fin, raison"
"Creer la route ajout demande de conges","A faire","CP7","Back-end","Moyenne","2026-04-11","2026-04-11","Create leave request","Enregistrer en base"
"Ajouter les types Python aux fonctions principales","A faire","CP7","Qualite","Haute","2026-04-10","2026-04-11","Fonctions typees","Commencer par app.py et les routes"
"Traduire le code en anglais si besoin","A faire","CP7","Qualite","Haute","2026-04-10","2026-04-11","Code en anglais","Variables, noms de fonctions, messages internes"
"Ajouter des commentaires utiles en anglais","A faire","CP7","Qualite","Moyenne","2026-04-10","2026-04-11","Commentaires utiles","Pas de commentaires inutiles"
"Lancer Black sur le projet","A faire","CP1","Qualite","Moyenne","2026-04-11","2026-04-11","Code formate","Verifier qu'il n'y a pas d'erreur"
"Lancer Flake8 sur le projet","A faire","CP1","Qualite","Moyenne","2026-04-11","2026-04-11","Lint propre","Corriger les problemes remontee"
"Installer pytest","A faire","CP7","Tests","Haute","2026-04-11","2026-04-11","pytest installe","Verifier qu'il s'execute"
"Creer le dossier tests","A faire","CP7","Tests","Haute","2026-04-11","2026-04-11","Dossier tests","Organiser les fichiers"
"Ecrire un test pour la page d'accueil","A faire","CP7","Tests","Moyenne","2026-04-11","2026-04-11","Test home","Verifier code 200"
"Ecrire un test pour le login reussi","A faire","CP7","Tests","Haute","2026-04-11","2026-04-11","Test login ok","Verifier la redirection dashboard"
"Ecrire un test pour le login refuse","A faire","CP7","Tests","Haute","2026-04-11","2026-04-11","Test login ko","Verifier le message d'erreur"
"Ecrire un test pour le dashboard protege","A faire","CP7","Tests","Haute","2026-04-11","2026-04-11","Test route protegee","Verifier la redirection vers login"
"Ecrire un test pour l'ajout d'un employe","A faire","CP6","Tests","Moyenne","2026-04-11","2026-04-12","Test create employee","Verifier l'insertion en base"
"Ecrire un test pour l'ajout d'une tache","A faire","CP6","Tests","Moyenne","2026-04-11","2026-04-12","Test create task","Verifier l'insertion en base"
"Corriger les erreurs remontees par les tests","A faire","CP7","Tests","Haute","2026-04-11","2026-04-12","Tests verts","L'objectif est un MVP stable"
"Finaliser le zoning sur Figma","A faire","CP2","Conception","Haute","2026-04-08","2026-04-09","Zoning final","Prevoir page accueil, login, dashboard, employes, taches"
"Faire le wireframe de la page accueil","A faire","CP2","Conception","Moyenne","2026-04-09","2026-04-09","Wireframe accueil","Simple et lisible"
"Faire le wireframe de la page login","A faire","CP2","Conception","Moyenne","2026-04-09","2026-04-09","Wireframe login","Prevoir le formulaire"
"Faire le wireframe du dashboard","A faire","CP2","Conception","Moyenne","2026-04-09","2026-04-10","Wireframe dashboard","Prevoir navigation et contenus"
"Faire le mockup final de la page accueil","A faire","CP2","Conception","Moyenne","2026-04-10","2026-04-10","Mockup accueil","Respecter votre identite visuelle"
"Faire le mockup final de la page login","A faire","CP2","Conception","Moyenne","2026-04-10","2026-04-10","Mockup login","Ecran presentable pour le jury"
"Faire le mockup final du dashboard","A faire","CP2","Conception","Moyenne","2026-04-10","2026-04-11","Mockup dashboard","Prevoir captures pour les slides"
"Creer la page equipe","A faire","CP4","Front-end","Moyenne","2026-04-11","2026-04-11","Page equipe","Afficher les membres et roles"
"Creer la page planning projet","A faire","CP4","Front-end","Moyenne","2026-04-11","2026-04-11","Page planning","Peut etre une simple page avec recap"
"Lister les entites du projet pour l'UML","A faire","CP7","Documentation","Haute","2026-04-12","2026-04-12","Liste des classes","Manager, Employee, Task, LeaveRequest"
"Creer le diagramme UML","A faire","CP7","Documentation","Haute","2026-04-12","2026-04-12","UML final","A integrer aux slides et au dossier"
"Lister les donnees pour le MCD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","Preparation MCD","Identifier les cardinalites"
"Creer le MCD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","MCD final","A integrer au dossier"
"Creer le LMD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","LMD final","A integrer au dossier"
"Creer le MPD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","MPD final","A integrer au dossier"
"Rediger le dictionnaire de donnees","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-13","Dictionnaire de donnees","Un tableau par champ est suffisant"
"Creer un formulaire Tally simple","A faire","CP4","Integration","Moyenne","2026-04-12","2026-04-12","Lien Tally","Exemple : demande de contact ou inscription"
"Choisir une fonction IA simple","A faire","CP7","Integration","Moyenne","2026-04-12","2026-04-12","Cas d'usage IA","Exemple : resumer une tache ou generer une suggestion"
"Connecter Hugging Face au projet","A faire","CP7","Integration","Moyenne","2026-04-12","2026-04-13","Appel API fonctionnel","Meme un test simple suffit"
"Creer un scenario Make simple","A faire","CP7","Integration","Moyenne","2026-04-13","2026-04-13","Scenario Make","Exemple : notifier apres un formulaire"
"Faire une capture du scenario Make","A faire","CP8","Documentation","Moyenne","2026-04-13","2026-04-13","Capture Make","Preuve pour le dossier"
"Ajouter gunicorn au projet","A faire","CP8","Deploiement","Moyenne","2026-04-13","2026-04-13","gunicorn ajoute","Necessaire pour un deploy standard"
"Verifier le Procfile","A faire","CP8","Deploiement","Moyenne","2026-04-13","2026-04-13","Procfile valide","Preparer Railway"
"Creer le compte Railway si besoin","A faire","CP8","Deploiement","Haute","2026-04-13","2026-04-13","Compte Railway","Verifier l'acces de l'equipe"
"Configurer les variables Railway","A faire","CP8","Deploiement","Haute","2026-04-13","2026-04-14","Variables de production","Ajouter SECRET_KEY et DATABASE_URL"
"Faire un premier deploiement Railway","A faire","CP8","Deploiement","Haute","2026-04-13","2026-04-14","Application en ligne","Verifier qu'elle demarre"
"Tester le site deploye","A faire","CP8","Deploiement","Haute","2026-04-14","2026-04-14","Verification production","Tester login et pages essentielles"
"Lister les mesures de securite mises en place","A faire","CP7","Securite","Haute","2026-04-13","2026-04-14","Liste securite","Hash mot de passe, session, variables d'environnement"
"Rediger la partie RGPD en mots simples","A faire","CP7","Securite","Haute","2026-04-13","2026-04-14","Texte RGPD","Expliquer quelles donnees sont collectees et pourquoi"
"Faire les captures GitHub des commits","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-15","Captures commits","Montrer la progression"
"Faire les captures GitHub des branches","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-15","Captures branches","Montrer le travail d'equipe"
"Faire les captures GitHub des merges","A faire","CP8","Presentation","Moyenne","2026-04-14","2026-04-15","Captures merges","S'il y en a, les montrer"
"Faire les captures du Kanban","A faire","CP8","Presentation","Moyenne","2026-04-14","2026-04-15","Captures Notion","Montrer l'organisation du projet"
"Rediger la slide 1 en anglais","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-14","Slide 1","Project overview en anglais"
"Rediger la slide architecture","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-15","Slide architecture","Montrer Flask, MVC, base, API"
"Rediger la slide UML et MERISE","A faire","CP8","Presentation","Haute","2026-04-14","2026-04-15","Slide modelisation","Rester simple et lisible"
"Rediger la slide securite et RGPD","A faire","CP8","Presentation","Haute","2026-04-15","2026-04-15","Slide securite","Expliquer les bonnes pratiques"
"Rediger la slide Git et organisation","A faire","CP8","Presentation","Haute","2026-04-15","2026-04-15","Slide Git/Kanban","Montrer commits, branches, planning"
"Rediger la slide deployment Railway","A faire","CP8","Presentation","Moyenne","2026-04-15","2026-04-15","Slide deploy","Montrer l'URL ou la capture"
"Assembler le diaporama final","A faire","CP8","Presentation","Haute","2026-04-15","2026-04-16","Presentation finale","Verifier que la demo suit le meme fil"
"Rediger la page contexte du dossier","A faire","CP8","Documentation","Moyenne","2026-04-15","2026-04-15","Page contexte","Expliquer le besoin utilisateur"
"Rediger la page cahier des charges","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-15","Page specifications","Lister les fonctions attendues"
"Rediger la page front-end du dossier","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Page front-end","Expliquer le design et les interfaces"
"Rediger la page back-end du dossier","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Page back-end","Expliquer Flask, routes, logique"
"Rediger la page base de donnees du dossier","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Page base de donnees","Inclure schema et dictionnaire"
"Rediger la page tests du dossier","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Page tests","Montrer pytest et les validations"
"Rediger la page securite et infrastructure du dossier","A faire","CP8","Documentation","Haute","2026-04-15","2026-04-16","Page securite","Inclure Railway, sessions et RGPD"
"Assembler le dossier final PDF","A faire","CP8","Documentation","Haute","2026-04-16","2026-04-16","Dossier final PDF","Verifier l'ordre des pages et des captures"
"Repartir la prise de parole de chaque membre","A faire","CP8","Presentation","Haute","2026-04-16","2026-04-16","Plan oral","Chaque personne doit avoir sa partie"
"Faire une repetition chronometree","A faire","CP8","Presentation","Haute","2026-04-16","2026-04-16","Repetition 20 minutes","Corriger si vous depassez"
"Tester la demo finale sur ordinateur","A faire","CP8","Finalisation","Haute","2026-04-16","2026-04-16","Demo validee","Verifier internet, acces GitHub et Railway"
"Verifier que tous les liens marchent","A faire","CP8","Finalisation","Moyenne","2026-04-16","2026-04-16","Liens verifies","GitHub, Figma, Railway, Tally"
"Faire une sauvegarde finale du dossier et des slides","A faire","CP8","Finalisation","Moyenne","2026-04-16","2026-04-16","Sauvegarde finale","Mettre sur drive ou support commun"
"Jour de presentation","A faire","CP8","Jalon","Haute","2026-04-17","2026-04-17","Soutenance","Slides, demo et dossier prets"
