Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Creer l'ajout d'un employe","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Create employee","Formulaire + insertion en base"
"Creer la modification d'un employe","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Update employee","Pouvoir changer les informations"
"Creer la suppression d'un employe","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Delete employee","Pouvoir supprimer proprement"
"Creer la liste des taches","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Page taches","Afficher les taches depuis la base"
"Creer l'ajout d'une tache","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Create task","Ajouter une tache a un employe"
"Creer la modification d'une tache","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Update task","Modifier le contenu ou le statut"
"Creer la suppression d'une tache","A faire","CP6","Back-end","Moyenne","2026-04-10","2026-04-11","Delete task","Supprimer proprement"
"Ajouter le typage Python","A faire","CP7","Qualite","Haute","2026-04-10","2026-04-11","Code type","Mettre des types sur les fonctions principales"
"Traduire le code en anglais","A faire","CP7","Qualite","Haute","2026-04-10","2026-04-11","Code en anglais","Variables, fonctions et commentaires"
"Ecrire les tests pytest principaux","A faire","CP7","Tests","Haute","2026-04-11","2026-04-12","Tests auth et CRUD","Tester login, dashboard et ajouts principaux"
"Faire le zoning, wireframe et mockup","A faire","CP2","Conception","Haute","2026-04-08","2026-04-11","Livrables Figma","Faire au moins accueil, login et dashboard"
"Creer UML, MCD, LMD, MPD et dictionnaire","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-13","Modelisation complete","Preuves fortes pour le Bloc 2"
"Ajouter Tally, Hugging Face et Make en version simple","A faire","CP7","Integration","Moyenne","2026-04-12","2026-04-14","Preuves d'integration","Faire des versions simples et demoables"
"Preparer Railway, la securite, le RGPD, les slides et le dossier final","A faire","CP8","Finalisation","Haute","2026-04-13","2026-04-16","Projet presentable","Inclure demo, captures GitHub et rapport RNCP"
